Categoría SICU,Breve descripción,Fecha,Hora,Localización,Lat,Lon,Subcategoría,Nivel de severidad,Fuente_URL
Otros,"Unveiling the Mysteries of Functional Magnetic Resonance Imaging https://www.maannews.net/cdn-cgi/content?id=3_aTup5BcR4h.2wm_ca04urkaCGkwrkvce0tr1A.Bc-176213535334-1.0.1.1-ZBO_4.YcdQV0EsBp6Fsw0JkKTQwH61FA72rJXUo Functional Magnetic Resonance Imaging: Una ventana en el funcionamiento interno de Brain Profunde dentro del ámbito de la neurociencia, una tecnología revolucionaria ha estado desenvol...",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"En los últimos días, la visita de los Estados Unidos a la segunda fase del Acuerdo de Paz de Gaza, en la que se inició la primera fase de la cesación del fuego el 10 de octubre pasado, y posteriormente el intercambio de prisioneros.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",40.400081,-3.631538,,,
Otros,"Úbiquitous Computing: The Invisible Fabric of Modern Life https://www.maannews.net/cdn-cgi/content?id=izziMGCqLp8Z2BneqsFXVK_T0k8n9BIM65vEYM7G1g0-1762932033456-1.01.1-AVil9wrV7Mv1DlV7ZlLqlLP9yzewQ6JCcoto de NiEQ Computing: The Invisible Fabric of Modern Life A medida que navegamos las complejidades de la vida moderna, es fácil pasar por alto la sutil pero omnipresente fuerza que se encuentra en...",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",35.708199,139.762660,,,
Otros,El estudio de la tecnología de la información y la tecnología de la tecnología de la información y la tecnología de la tecnología de la información y la tecnología de la información y la tecnología de la información y la tecnología de la información y la tecnología de la información y la tecnología de la información y las comunicaciones.,2025-11-12,,"Gaza City, Gaza",,,,,
Terrorismo,"El terrorismo judío en la Ribera Occidental después de que la Ribera Occidental se convirtiera en una gran explosión a causa de las provocaciones de los colonos, alentados por el Gobierno y el ejército israelí, pidió a los comandantes de las brigadas del ejército que volvieran a utilizar las detenciones administrativas del Consejo de Defensa de Israel Kats.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Continuum Mechanics: A Poetic Dive into the Realm of Deformable Bodies https://www.maannews.net/cdn-cgi/content?id=RXOU34vxeFqxMG.Lc4xLudE5mRaXpXeJ7QB27faE-1762933064.396579-1.01.1-Xeel8d8kzK7GuZlJV3OYkRSHyjkApJcQlklL2Q Continuum Mechanics: A Poético Dive in the Realm of Deformable Bodies En el reino de la física, donde las fuerzas y los movimientos entwine de la materia, se encuentran en el fa...",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Estudios francófonos: Unveiling the Complexity of Language and Culture https://www.maannews.net/cdn-cgi/content?id=k6xl3UtJ9_G5xsvqjgV1GNCJw10IIHZmR.naXF22TQA-1762933661.5607915-1.0.1.1-l3D7EWZn8wuc3dj4D0Df3gHy5BfsJYTgx2OEU.rDlpI Estudios francófonos, un campo multidisciplinario de investigación, profundiza en las complejidades de la lengua francesa y la cultura en varias regiones del mundo.Con...",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"El séptimo informe del Contralor del Estado sobre la ocupación israelí sobre la guerra de Gaza reveló que los dirigentes políticos no habían cumplido su deber de garantizar la preparación del país para hacer frente a las transformaciones aceleradas en materia de seguridad, señalando la falta de una visión nacional clara basada en un concepto de seguridad estructurado y actualizado.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Geophagy: The Enigmatic Earth-Eating Phenomenon https://www.maannews.net/cdn-cgi/content?id=GWCzrpXjb8_JDn97rQCCbj_7nEz6HfMkhV4sKGO.E-1762934240.95113-1.01.1-ZSUikc3MqbG9Egm4UmGpmUTc5RP6FesZHbZsfGRY Geophagy: Unveiling the Mysteries of Earth Consuming studies En el ámbito del comportamiento humano, pocas prácticas son tan intrigantes y multifacéticas como la geofagia, el hecho de consumir la ti...",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Mycoremediation: The Fungal Frontier of Environmental Restoration https://www.maannews.net/cdn-cgi/content?id=KPEGbL9R84iehsWuqjAdnWI5MTgMzZze.zstqbzsGM-17629348.8610303-1.0.1.1-MqQE4M1cy9ILKtVJCkrwG_PgkyYzfwv1H5o.70 Mycoremediation: The Fungal Frontier of Environmental Restoration Deep into the Earth's Ecosystems, una red de hifae fúngicos que teje una red intrinca de vida, apoyando y mantenie...",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"La Sala de Operaciones del Gobierno Palestino para las intervenciones de emergencia en Gaza afirma que el volumen de la asistencia no cubre el 41% de las necesidades que las autoridades de ocupación declararon hoy el miércoles que el cruce de Zikim se abre en el extremo norte de la Franja de Gaza, hasta la entrada de camiones de asistencia humanitaria.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Hisromane Modification: The Epigenetic Code https://www.maannews.net/cdn-cgi/content?id=g8yzgrQkp6PLDHKyhZ8.Dv1MHIVcfdAHc43Rx34c-1762935526594-1.0.1.1-OoUn0H1eCsjSyK.6I2PMAR0YVhpiX1vqsHistone Modification: Unveiling the Complejities of Chromatin Regulation En el ámbito de la biología molecular, la modificación de histones desempeña un papel fundamental en la configuración del paisaje epigenétic...",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"El concepto de superficie: Unveiling the Mysteries of Interfaces https://www.maannews.net/cdn-cgi/content?id=.aMmGEVMTXOYpPcFKzQXK0DsRsZxazC0wHo-1762936041.607206-1.0.1.1-Km_BU2XQ0kTOmJN0uf6PyscGtzOudcCw_I Surface Chemistry: The Science of Interfaces La química de superficie, un fascinante campo de estudio, se adentra en el intrincado mundo de las interfaces, donde se encuentran dos o más fases...",2025-11-12,,"Gaza City, Gaza",,,,,
Conflicto Armado,"El ejército de ocupación disparó contra el campamento de refugiados de Al-Barija en el centro de la Franja de Gaza, y el ejército llevó a cabo una operación de bombardeo al este de la ciudad de Jan Yunis en el sur de la Franja de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,Fisiología: The Rhythmic Dance of Life https://www.maannews.net/cdn-cgi/content?id=RgHe3JRYuNgdw0NivGyEIwFXjV_nybUZkJ4ME.caA_w-17626219.123243-1.0.1.1-DpWoYePfHJnd2TAhjUwU_Cav10.p6_bLFt37YbI es un ejemplo de la relación de la relación de la relación de la relación de la relación de la relación de la relación de la relación de la relación de la relación de la relación de la relación de la relaci...,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",19.507801,-99.129918,,,
Otros,"El ejército israelí vuelve a penetrar en la zona rural de Quneitra (https://www.alquds.com/ar/posts/207437) con nosotros y publicó sus artículos en el Foro Al-Quds el miércoles 12 de noviembre de 2025 a las 10.32 horas, hora de Al-Quds, el ejército israelí vuelve a penetrar en la zona rural de Quneitra.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",35.661543,139.698750,,,
Otros,"En el marco del Foro Al-Quds, se registraron ataques israelíes contra Beit Lahiya y se destruyeron viviendas en Khan Younis (https://www.alquds.com/ar/posts/207436) y se publicaron sus artículos en el Foro Al-Quds el miércoles 12 de noviembre de 2025 a las 10.28 horas de la mañana, hora de Al-Quds, en el marco de los ataques israelíes contra Beit Lahia y las viviendas en Khan Younis, en el marc...",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"En el informe, el Fondo de Qatar para el Desarrollo de Qatar firmó un acuerdo de donación por valor de 1 millón de dólares con la organización gubernamental ITF Eslovena para ""promover la seguridad humana"" en Doha, con el fin de apoyar al hospital palestino de Harila, cerca de Belén, desarrollando su capacidad en materia de emergencia y equipo médico y mejorando los servicios de rehabilitación,...",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",44.366578,-69.800694,,,
Otros,"El ejército israelí vuelve a penetrar en la zona rural de Quneitra (https://www.alquds.com/ar/posts/207437, nuevo).",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",35.661543,139.698750,,,
Otros,"En el Foro de Jerusalén, celebrado el miércoles 12 de noviembre de 2025 a las 10.28 horas (hora de Jerusalén), se realizaron incursiones israelíes en Beit Lahiya y se destruyeron viviendas en Khan Younis.",2025-11-12,,"Khan Younis , Khan Younis, Khan Younis, Gaza",,,,,
Otros,"La Autoridad de Arqueología de la Ribera Occidental ha pasado de ser un asunto cultural histórico a ser un instrumento de ingeniería que se utiliza para reestructurar la geografía política y establecer el control del territorio y la memoria espacial e histórica de los palestinos, mediante la toma de sitios arqueológicos y la modificación de su versión.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-16.501500,-68.132487,,,
Otros,"Noticias sirias: las fuerzas de ocupación israelíes se adentran en la aldea de Diabal al-Qata, en la zona meridional de Quneitra, y levantan una barrera militar",2025-11-12,,"Gaza City, Gaza",,,,,
Conflicto Armado,:: Autoridades ucranianas: heridos en bombardeos aéreos y artillería rusa contra zonas residenciales de la ciudad de Gerson y sus alrededores,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,∙ Las autoridades ucranianas: muerte de un civil en un ataque ruso con un avión teledirigido contra la provincia de Dnipropetrovsk,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,} Corresponsal de la isla: las fuerzas de ocupación van acompañadas de mecanismos de demolición que entran en el sur de Hebrón para llevar a cabo demoliciones,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,● Corresponsal # Al-Jazeera: un equipo de la Cruz Roja y Qassam se está preparando para entrar en la zona amarilla al este de Gaza en busca de cuerpos de prisioneros,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,La Comisión Electoral del Iraq se compromete a dar a conocer los resultados de las elecciones a tiempo,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",20.185425,-75.853602,,,
Otros,:: Ejército de Ucrania: derribo de 90 aviones teledirigidos rusos que se dirigían a zonas dispersas del país,2025-11-12,,"Gaza City, Gaza",49.487197,31.271832,,,
Otros,• Corresponsal de la Isla: un equipo de la Cruz Roja y Qassam entra en la zona amarilla al este de Gaza para buscar los cuerpos de prisioneros israelíes,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Disturbios Civiles,"• Corresponsal de la isla: 3 aviones de marcha dirigidos contra el centro de Kharkev, al este de Ucrania",2025-11-12,,"Gaza City, Gaza",49.487197,31.271832,,,
Otros,Comandante de la Región Militar Central del ejército israelí: Hay que hacer frente con firmeza a la violencia juvenil contra personas inocentes y las fuerzas de seguridad de la Ribera Occidental,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,Canal 12 israelí del Consejo de Prensa e Información: la decisión de cerrar la radio del ejército es ilegal y actuaremos en su contra,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",53.809381,9.966630,,,
Otros,"El líder del Partido Democrático Israelí, Netanyahu, está tratando de silenciar los canales que hablan de una comisión de investigación gubernamental en el ataque de octubre.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,*Aceleró el Ministerio de Defensa de Turquía: 20 soldados turcos murieron en el accidente de un avión militar de carga en Georgia.,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Canal 12 Hebreo: Rice ISIS Gualini se reunió en Washington con el rabino judío Yousef Hamra, que se trasladó de Siriastán a los Estados Unidos en los años noventa.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"En Moscú, ayer por la noche se proyectó el primer robot ruso basado en la inteligencia artificial de la producción local, pero el robot se derrumbó durante la presentación y dejó de funcionar.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",55.625578,37.606392,,,
Otros,"El Ministro de Defensa de Israel, Kats, decidió cerrar la emisora de radio militar Radio Ejército y dijo que la transmisión cesaría el 1o de marzo de 2026 en https://t.me/Almastashar",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",59.260501,15.185821,,,
Otros,"La BBC British Network informó esta noche de que Israel había destruido más de 1.500 edificios en una zona de la Franja de Gaza bajo su control, después de la “línea amarilla”, desde la cesación del fuego.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Coordinador del Gobierno de Israel: Con la aprobación política, el miércoles se abrió el cruce de Zikim para la entrada de camiones de asistencia en la Franja de Gaza. La asistencia se transportará por conducto de las Naciones Unidas y las organizaciones internacionales, tras un examen de seguridad minucioso realizado por la Dirección de Fronteras Terrestres.",2025-11-12,,قطاع غزة,31.443223,34.360007,,,
Otros,":: Ha'ats: Israel tiene previsto construir una planta de incineración de desechos en Kalandia, parte de la cual está situada en Jerusalén y la otra parte en la Ribera Occidental.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",31.863368,35.207149,,,
Otros,"Los monitores aéreos israelíes actualizan los modelos de Essy: la fecha de la llegada del sábado y el domingo de Essy esta noche parece buena. Hay mucha lluvia en la carretera, decenas de milímetros, especialmente en la llanura del Sahel.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-33.849546,-70.749518,,,
Otros,"11 hebreos: En negación, una fuente palestina confirma: los milicianos de Abu Shahab se reunieron con altos funcionarios estadounidenses, pero no en la base de Kiryat Jat, y en respuesta a los informes de una reunión celebrada en la sede de los Estados Unidos en Qari Jat, entre Yasir Abu Shabah, jefe del puerto de oposición de Hamas, y Jared Kouchner, da la bienvenida a los corresponsales de la...",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",38.517108,-1.711279,,,
Otros,.,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"Queremos informarles de la existencia de páginas y cuentas falsas que hacen pasar el nombre de nuestra agencia. Por lo tanto, subrayamos que las páginas oficiales y las cuentas de la agencia son las siguientes:",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-18.476615,-70.320922,,,
Otros,"*Aceleró los disparos de los mecanismos de ocupación estacionados al este del campamento de Bureij, en el centro de la Franja de Gaza",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Conflicto Armado,"* Seguimiento de tres incursiones de aviones de combate israelíes en la zona nororiental de Beit Lahiya, dentro de las zonas de la línea amarilla",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,▪ Los Primeros Ministros se negaron a adoptar una clara teoría de seguridad con respecto a Gaza.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"* Seguimiento del observador aéreo de Leith Al-Alami: un estado de emergencia que comienza el jueves en Palestina y la Faja de Gaza y que evoluciona a una baja atmosférica de viernes a domingo, con fuertes lluvias y bajas temperaturas.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"El Gobierno de Francia se retracta de su decisión de excluir a ocho empresas israelíes de la feria de seguridad y defensa de París, tras intensas comunicaciones y presiones políticas israelíes.",2025-11-12,,"Gaza City, Gaza",46.603354,1.888334,,,
Otros,- El Cairo participa en las consultas de Nueva York sobre el despliegue de la Fuerza Internacional de Apoyo a la Estabilización en la Franja de Gaza.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"El Ministro de Asuntos Estratégicos, Ron Deirmer, presenta su dimisión del gobierno de Netanyahu, y Dermer escribe en su renuncia: ""El 7 de octubre es el día más feliz desde que se creó el Estado"".",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,- La ocupación ha atacado sistemáticamente las fuentes de agua de la Franja de Gaza. - Grandes zonas de la ciudad de Gaza no tienen acceso al agua en condiciones sanitarias y ambientales catastróficas.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Canal 14 de Israel: El profesor Belkov es un experto de inteligencia de la Universidad de Tel Aviv: existe un consenso entre los dirigentes políticos y el sistema de seguridad de Israel como una amenaza estratégica, por lo que Israel se niega a integrar a las fuerzas turcas en la fuerza internacional de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"*Aceleró los ataques aéreos israelíes contra el sudeste de la ciudad de Khan Younis, al sur de la Franja de Gaza",2025-11-12,,قطاع غزة,31.443223,34.360007,,,
Conflicto Armado,"Irán produce un documental en hebreo titulado ""Misiles sobre Bazan"" que documenta el ataque iraní contra la refinería de Bazan en Haifa durante la guerra con Israel.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,▪ Las imágenes de satélite recientes muestran que barrios enteros bajo control de las fuerzas de ocupación fueron arrasados en menos de un mes.,2025-11-12,,"Gaza City, Gaza",,,,,
Otros,• Canal 12 hebreo: decisión política de abrir el cruce de Zikim al norte de la Franja de Gaza para la introducción de asistencia por conducto de organizaciones internacionales y de otro tipo,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,La ocupación retiene aproximadamente un millón de paquetes de leche infantil y obstaculiza la entrada de artículos humanitarios en Gaza.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-23.328398,32.806606,,,
Otros,• Un equipo de la Cruz Roja y Qassam que se prepara para entrar en la zona amarilla al este de Gaza en busca de cadáveres de prisioneros,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,Gobierno de Israel: La entrada de la ayuda se hará después de una auditoría de seguridad y la entrega estará a cargo de organizaciones internacionales y de las Naciones Unidas.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-31.963137,-58.506873,,,
Otros,* Seguimiento de fuentes locales: un equipo de la Cruz Roja y Qassam se está preparando para entrar en la zona amarilla al este de Gaza en busca de cadáveres de prisioneros.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,":: Seguimiento de Ha ' aretz: Israel tiene previsto construir una fábrica de incineración de desechos en Kalandia, parte de la cual está situada en Jerusalén y la otra parte en la Ribera Occidental, y se prevé que la construcción de la fábrica demolerá dos edificios habitados por decenas de palestinos, así como la demolición y reconstrucción del muro de separación de manera que se confisquen un...",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",31.863368,35.207149,,,
Otros,":: El número de puntos de acceso acordados para la asistencia durante las negociaciones humanitarias es de cinco, de los cuales tres están en funcionamiento después de la apertura de Zakim, Karem Abu Salim, Kissufim y Zikim",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,• Corresponsal: un equipo de la Cruz Roja y Qassam entra en la zona amarilla al este de Gaza para buscar los cuerpos de los prisioneros israelíes,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"• Defensa civil - Franja de Gaza: por segundo día consecutivo, un equipo de rescate de la defensa civil de la provincia de Gaza está sacando y transportando los cadáveres de los mártires desde la clínica Sheikh Radwan, al oeste de la ciudad de Gaza.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-23.328398,32.806606,,,
Otros,100 diputados democráticos piden al Congreso de los Estados Unidos que exija responsabilidades a los colonos y ponga fin a la violencia en la Ribera Occidental.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",-22.458273,-60.432260,,,
Otros,"- Declaración de prensa del Movimiento de Resistencia Islámica (Hamás) dirigida a la hermana República de Turquía, Presidente, Gobierno y pueblo de Hamas, con el más sentido pésame y condolencia por el trágico incidente que causó la muerte de 20 militares, tras el accidente de un avión de carga militar de las fuerzas armadas turcas en la frontera entre Azerbaiyán y Georgia.",2025-11-12,,"Gaza City, Gaza",,,,,
Otros,"• Sitio web de la revista Ebok Hebrea: Los altos funcionarios de Jerusalén estiman que la administración de Trump está empezando a darse cuenta de que, en este momento, ninguna parte árabe o internacional puede desarmar a Hamas sin enfrentarse directamente con ella.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",18.477429,-69.876378,,,
Otros,El Gobierno de ocupación firmó un contrato de 6 millones de dólares de los EE.UU.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",17.538512,44.215381,,,
Otros,Gracias a Dios por tu cara y por tu gran poder.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",14.588912,-88.580547,,,
Otros,Un equipo de la Cruz Roja y Qassam se prepara para entrar en la zona amarilla al este de Gaza para buscar los cuerpos de los prisioneros @Warlife3,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Fuentes hebreas: el cruce de Zikim abrirá la entrada de ayuda humanitaria a la Franja de Gaza a partir de hoy, por decisión política, y Dios no cree en las mercancías, a continuación de Teji, a través de los judíos.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",42.851648,-2.741931,,,
Otros,"Médicos sin Fronteras: A pesar de que ha transcurrido un mes desde la cesación del fuego, la situación en Gaza sigue siendo trágica, y las fuerzas israelíes siguen asesinando y hiriendo diariamente cerca de la línea amarilla, y las restricciones al acceso humanitario son considerables. @Warlife3.",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,• Análisis de imágenes satelitales de la BBC: ▪ El ejército de ocupación israelí destruyó más de 1.500 edificios en zonas que había mantenido bajo su control en la Franja de Gaza desde el inicio de la cesación del fuego el 10 de octubre de 2025.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",45.471192,4.752155,,,
Conflicto Armado,"• Aviones de ocupación realizaron un ataque aéreo en las zonas sudorientales de la ciudad de Khan Younis, al sur de la Franja de Gaza",2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,* Seguimiento del Canal 12 Hebreo: el cruce de Zekim abrirá el acceso humanitario a la Franja de Gaza a partir de hoy por decisión política.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",40.454925,-4.170138,,,
Otros,Médicos sin Fronteras: La situación en la Franja de Gaza sigue siendo terrible un mes después de la frágil cesación del fuego.,2025-11-12,,"Gaza City , Gaza City, Gaza, Gaza",,,,,
Otros,"Aviones de ocupación realizaron tres incursiones en el noreste de Beit Lahiya, al norte de la Franja de Gaza",2025-11-12,,قطاع غزة,31.549770,34.502470,,,
